Result,Date,Tournament,Surface,Opponent
Loss,Sep-97,"US Open, United States",Hard, Martina Hingis
Loss,Jan-98,"Sydney International, Australia",Hard, Arantxa Sánchez Vicario
Win,Feb-98,"U.S. National Indoor, United States",Hard, Joannette Kruger
Win,Mar-98,"Miami Open, United States",Hard, Anna Kournikova
Loss,May-98,"Italian Open, Italy",Clay, Martina Hingis
